;name;retentionRate;fullStreams;consistency;amortisedConsistency;mean;score
1312;Oxymoron (Szymi Szyms);1.0;6;0.018072289156626505;0.07142857142857142;0.018018018018018018;1.8788973612984105e-05
1313;PATCHWERK (with Two Feet) (Sub Urban);0.9105310365771836;22;0.018072289156626505;0.23076923076923078;0.07109251336638671;0.00036654589356819423
1314;PAWO (Lorn);0.9590937368568625;19;0.024096385542168676;0.07079646017699115;0.0576032274388506;0.00017243065164040058
1315;PIN (TACONAFIDE);0.9713349140875335;147;0.1897590361445783;0.32642487046632124;0.46962438789217076;1.1171688728998115
1316;PLS (Design) (Otsochodzi);0.9271774417447493;137;0.18674698795180722;0.2938388625592417;0.43713771277455143;0.7979429906368378
1317;POL Smoke (Taco Hemingway);0.8684263679300204;29;0.0391566265060241;0.18840579710144928;0.09649181865889114;0.0019625197928947037
1318;POWER (Kanye West);0.9063856777283464;84;0.16265060240963855;0.2222222222222222;0.27763164903390786;0.21376602405308512
1319;PRZYTOBIE (Quebonafide);0.9483325450509332;29;0.04216867469879518;0.15384615384615385;0.09113105538026987;0.002153867856889081
1320;PUPPET (Tyler, The Creator);0.9634909196538799;28;0.045180722891566265;0.11363636363636363;0.08680098375260178;0.0017763939508061552
1321;Pablo (Quebonafide);0.8763699030549147;5;0.015060240963855422;0.022321428571428572;0.015790448703692155;2.443025362940296e-06
1322;Palace Of The Innocents (The Glitch Mob);0.9450223686527154;45;0.06927710843373494;0.1464968152866242;0.13905734553748667;0.010536620692897293
1323;Pamiętam (PlanBe);0.9987905184015182;19;0.02710843373493976;0.0430622009569378;0.05698804759648302;0.00014318561418890586
1324;Panic Room (Au/Ra);0.8240429206691003;4;0.015060240963855422;0.031446540880503145;0.014847620192236044;2.360613045532783e-06
1325;Panie, to Wyście! (Taco Hemingway);0.9476930794026709;49;0.0572289156626506;0.2753623188405797;0.15367995882205474;0.015558784330285834
1326;Panorama (Otsochodzi);0.9155985705368718;12;0.024096385542168676;0.038461538461538464;0.04124317885301224;4.5624485744168496e-05
1327;Paper Love (Allie X);0.932339998100117;8;0.015060240963855422;0.029069767441860465;0.02519837832703019;7.278306059471254e-06
1328;Paper Planes (M.I.A.);1.1029483430799218;30;0.04819277108433735;0.06779661016949153;0.1093011871520644;0.0018998347057424705
1329;Papierosy (Reto);0.8867567517249642;84;0.17771084337349397;0.2599118942731278;0.2796079847781419;0.2866929997497583
1330;Papierosy_rmx (Reto);0.9476223688681439;18;0.015060240963855422;0.023923444976076555;0.05406854356905325;2.039402784002023e-05
1331;Papierowy man (RAU);0.8767420253164557;15;0.02108433734939759;0.0457516339869281;0.05265717869768503;5.381337404405519e-05
1332;Papuga (Mata);0.9120737619500703;35;0.02710843373493976;0.34615384615384615;0.11503633033604489;0.002512022306793176
1333;Paradise (Coldplay);0.9179980553891196;22;0.05120481927710843;0.07112970711297072;0.07167552384419551;0.0009256873670426695
1334;Paranoid (Kanye West);0.9506163954718503;4;0.006024096385542169;0.015267175572519083;0.014273519451529283;2.3926471216786343e-07
1335;Paris (Else);0.9641072348217522;16;0.030120481927710843;0.15873015873015872;0.05211390458495958;0.0004889120669555195
1336;Partita for 8 Singers: No. 3. Courante (Caroline Shaw);0.614318556560422;9;0.045180722891566265;0.11904761904761904;0.04243041081348261;0.00017001821829592365
1337;Party All the Time (Eddie Murphy);0.8232650950254674;10;0.02710843373493976;0.23076923076923078;0.034611745736806435;0.00021383456682100136
1338;Passage (John D. Boswell);0.9566689842104732;17;0.02108433734939759;0.05785123966942149;0.051711836984349904;9.09913010203836e-05
1339;Pasy (Białas);1.000022445051708;16;0.012048192771084338;0.04081632653061224;0.04804912648897095;2.0780689689635847e-05
1340;Pat and Janet (Justin Hurwitz);1.0;9;0.012048192771084338;0.03669724770642202;0.02702702702702703;7.881682862311894e-06
1341;Path of Least Resistance (Carbon Based Lifeforms);0.9613275710660195;5;0.009036144578313253;0.014778325123152709;0.017321217496685037;7.338267973701252e-07
1342;Pathfinder (Harry Gregson-Williams);0.9937575911645906;24;0.02108433734939759;0.06306306306306306;0.0716221687325831;0.00017782420166703538
1343;Patointeligencja (Mata);0.8957944207324543;142;0.10542168674698796;0.330188679245283;0.4546223937050596;0.2819373175047701
1344;Patolove (Zdechły Osa);0.9242677884615385;11;0.012048192771084338;0.15384615384615385;0.036082526276276276;3.986274923036582e-05
1345;Patoreakcja (Mata);0.9383788219563772;24;0.03313253012048193;0.2894736842105263;0.0789027237681038;0.0018863919150940518
