;trackName;artists;primaryArtist;album;durationMs;explicit;artistGenres;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;timeSignature
7146;Bisque;['Sidewalks'];Sidewalks;Big Dinner;298943;False;[];0;0.562;0.217;3.0;-16.636;1.0;0.0321;0.892;0.0685;0.257;0.0703;120.185;4.0
7147;Just Let Me Dance - Maxxi Soundsystem Remix;['Scandal'];Scandal;Just Let Me Dance;505698;False;[];34;0.87;0.566;2.0;-6.767;1.0;0.0645;0.00184;0.813;0.0995;0.628;122.004;4.0
7148;Never Sleep Alone (feat. Tess Comrie);['Kaskade', 'Tess Comrie'];Kaskade;Never Sleep Alone (feat. Tess Comrie);224133;False;['edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house', 'vocal house'];49;0.621;0.831;6.0;-3.793;0.0;0.038;0.185;0.000925;0.102;0.527;125.946;4.0
7149;Holly Jolly Christmas;['Michael Bublé'];Michael Bublé;Christmas (Deluxe Special Edition);119786;False;['adult standards', 'canadian pop', 'jazz pop', 'lounge'];90;0.647;0.465;7.0;-8.308;1.0;0.0428;0.865;0.0;0.0882;0.699;151.251;4.0
7150;Narcos;['Migos'];Migos;Culture II;255378;True;['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap'];74;0.936;0.585;0.0;-6.914;1.0;0.125;0.0142;0.0;0.132;0.242;124.991;4.0
7151;L'amour Toujours (Small Mix);"[""Gigi D'Agostino""]";Gigi D'Agostino;L'Amour Toujour;242053;False;['eurodance', 'europop', 'italo dance'];66;0.637;0.878;7.0;-4.449;1.0;0.0302;0.0775;0.0227;0.364;0.742;139.053;4.0
7152;Mr Rockefeller;['Bette Midler'];Bette Midler;Songs for the New Depression;244706;False;['adult standards', 'mellow gold', 'new wave pop', 'soft rock'];20;0.477;0.432;10.0;-13.033;1.0;0.0621;0.494;0.000301;0.428;0.5;146.114;4.0
7153;Szerokie wody - Radio Edit;['Mrozu'];Mrozu;Szerokie wody (Radio Edit);229905;False;['polish alternative', 'polish pop'];41;0.605;0.559;6.0;-5.941;0.0;0.0511;0.382;5.97e-06;0.343;0.502;76.962;4.0
7154;Sam's Band (Heavy Version);['ConcernedApe'];ConcernedApe;Stardew Valley (Original Game Soundtrack);61032;False;['indie game soundtrack', 'video game music'];36;0.322;0.581;1.0;-15.092;1.0;0.0587;2.5e-05;0.939;0.101;0.621;119.879;4.0
7155;Бургер;['FACE'];FACE;Бургер;140251;True;['kavkaz', 'russian emo rap', 'russian grime', 'russian hip hop', 'russian trap'];49;0.827;0.746;9.0;-5.111;1.0;0.101;0.153;0.373;0.237;0.478;138.996;4.0
